Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34495,The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),Terry Pratchett,"Pratchett, Terry",,"=""0060094931""","=""9780060094935""",0,4.07,HarperCollins,Hardcover,502,2003,1989,,2021/03/13,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
23213813,The Long Utopia (The Long Earth #4),Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""006229735X""","=""9780062297358""",0,3.88,Harper,ebook,373,2015,2015,,2021/03/13,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
34519,"Wings (Bromeliad Trilogy, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0060094958""","=""9780060094959""",0,3.98,HarperCollins,Paperback,215,2004,1990,,2021/03/13,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
34528,"Johnny and the Dead (Johnny Maxwell, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0060541881""","=""9780060541880""",0,3.80,HarperCollins,Hardcover,213,2006,1993,,2021/03/13,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
34521,"Only You Can Save Mankind (Johnny Maxwell, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060541873""","=""9780060541873""",0,3.72,HarperTrophy,Paperback,210,2006,1992,,2021/03/13,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
9528398,Theatre of Cruelty (Discworld #14.5; City Watch #1.5),Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,3.80,,ebook,4,1993,1993,,2021/03/13,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
34524,"Where's My Cow? (Discworld, #34.5)",Terry Pratchett,"Pratchett, Terry",Melvyn Grant,"=""038560937X""","=""9780385609371""",0,4.12,Doubleday,Hardcover,32,2005,2005,,2021/03/13,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
181010,The Dark Side of the Sun,Terry Pratchett,"Pratchett, Terry",,"=""0552133264""","=""9780552133265""",0,3.61,Corgi,Paperback,235,1988,1976,,2021/03/13,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
18586487,"The Long Mars (The Long Earth, #3)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0857521748""","=""9780857521743""",0,3.74,Doubleday UK,Hardcover,361,2014,2014,,2021/03/13,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
2008105,An Unofficial Companion to the Novels of Terry Pratchett,Andrew M. Butler,"Butler, Andrew M.",,"=""1846450012""","=""9781846450013""",0,3.86,Greenwood World Publishing,Hardcover,472,2007,2007,,2021/03/13,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
34499,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,"Pratchett, Terry",,"=""0061020672""","=""9780061020674""",0,3.89,Harper,Mass Market Paperback,276,2008,1988,,2021/03/13,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
22718485,Philosophy and Terry Pratchett,Jacob Held,"Held, Jacob",James B. South,"=""1137360151""","=""9781137360151""",0,3.92,Palgrave Macmillan,Paperback,328,2014,2014,,2021/03/13,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
34503,The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett,"Pratchett, Terry",Paul Kidby,"=""0060507772""","=""9780060507770""",0,4.17,Harper Voyager,Paperback,176,2002,2001,,2021/03/13,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
53181089,The Stranger Times: A dark and hilarious escapist read for fans of Terry Pratchett,C.K. McDonnell,"McDonnell, C.K.",Caimh McDonnell,"=""1787633357""","=""9781787633353""",0,4.39,Bantam Press,Hardcover,432,2021,2021,,2021/03/13,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
26873192,Terry Pratchett's Discworld Collectors' Edition Calendar 2016,Terry Pratchett,"Pratchett, Terry",,"=""057510371X""","=""9780575103719""",0,4.46,Gollancz,Calendar,,2015,2015,,2021/03/13,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
21213310,Wyrd Sisters by Terry Pratchett Lesson Plans,BookRags,"BookRags, BookRags",,"=""""","=""""",0,4.29,,Kindle Edition,286,2012,2012,,2021/03/13,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
13516846,Dodger,Terry Pratchett,"Pratchett, Terry",,"=""0062009494""","=""9780062009494""",0,3.93,HarperCollins Publishers,Hardcover,360,2012,2012,,2021/03/13,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
22886868,"The Shepherd's Crown (Discworld, #41; Tiffany Aching, #5)",Terry Pratchett,"Pratchett, Terry",Rob Wilkins,"=""0062429973""","=""9780062429971""",0,4.36,Harper,Hardcover,276,2015,2015,,2021/03/13,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
833515,Terry Pratchett's Lords And Ladies: Play (The Play),Irana Brown,"Brown, Irana",Terry Pratchett,"=""057301888X""","=""9780573018886""",0,4.04,,,,,,,2021/03/13,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
12861667,Articles on Novels By Terry Pratchett,Hephaestus Books,"Books, Hephaestus",,"=""1244821802""","=""9781244821804""",0,4.41,Hephaestus Books,Paperback,192,2011,2011,,2021/03/13,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
28483472,Terry Pratchett's Johnny and the Bomb: A Time-Tickingly Tremendous Musical (A & C Black Musicals),Terry Pratchett,"Pratchett, Terry",Matthew Holmes,"=""1408165600""","=""9781408165607""",0,4.12,HarperCollins UK,Paperback,76,2012,,,2021/03/13,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
2855034,Nation,Terry Pratchett,"Pratchett, Terry",,"=""0061433012""","=""9780061433016""",0,4.08,HarperCollins,Hardcover,367,2008,2008,,2021/03/13,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
47994,"The Last Continent (Discworld, #22; Rincewind #6)",Terry Pratchett,"Pratchett, Terry",,"=""0552154180""","=""9780552154185""",0,3.97,Corgi,Paperback,416,2006,1998,,2021/03/13,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
33541172,Para el maestro: historias en honor de Terry Pratchett,Álvaro Loman,"Loman, Álvaro","Abel Amutxategi, Ángel L. Marín, Caryanna Reuven, Dani Guzman, Diego María Heras, Gonzalo Zalaya Bueno, Jordi Balcells, Jorge  Sosa Almeida, Nacho Iribarnegaray, Pablo Bueno, Patricia Losa, Pilar Ramírez Tello, Roberto Alhambra, Roberto Blasco, Sofía Rhei, Steve Redwood, Tomás Sendarrubias, Pablo Martínez-Lage, Cristina Macía, M. Alfonso García, Gonzalo Zalaya","=""""","=""9788494468285""",0,3.85,HT Publishers,Paperback,216,2016,,,2021/03/13,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
24502252,Terry Pratchett's Discworld Collectors' Edition Calendar 2015 (Calendars 2015),Terry Pratchett,"Pratchett, Terry",The Discworld Emporium,"=""057510368X""","=""""",0,4.58,Orion (an Imprint of The Orion Publishing Group Ltd ),Calendar,,2014,2014,,2021/03/13,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
12432842,Equal Rites by Terry Pratchett l Summary & Study Guide,BookRags,"BookRags, BookRags",,"=""""","=""2940013028470""",0,4.28,BookRags.com,Nook,0,2011,2011,,2021/03/13,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
17167572,"The Long War (The Long Earth, #2)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""006206777X""","=""9780062067777""",0,3.64,HarperCollins Publishers,Hardcover,419,2013,2013,,2021/03/13,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
